Open,High,Low,Close,Volume,Dividends,Stock Splits,date,Month,Day,Year,stochastic_k,stochastic_d,MACD,EMA_50,EMA_200,MA_50,MA_200,RSI 7,RSI 14,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,Aroon_Oscillator,ATR,UpMove,DownMove,Zero,PlusDM,MinusDM,plusDI,minusDI,ADX
6.0,6.929999828338623,5.349999904632568,6.599999904632568,66849000,0,0,2018-09-12,9,12,2018,,,,,,,,,,,,,0.0,,,,0,0.0,0.0,,,
6.619999885559082,12.6899995803833,6.519999980926514,11.600000381469727,158346500,0,0,2018-09-13,9,13,2018,,,,6.599999904632568,6.599999904632568,,,0.0,0.0,,,,0.0,,5.759999752044678,-1.1700000762939453,0,5.759999752044678,0.0,,,
12.65999984741211,13.800000190734863,9.220000267028809,9.899999618530273,172473600,0,0,2018-09-14,9,14,2018,,,,9.124752620659253,9.106234557610795,,,0.0,0.0,,,,0.0,,1.1100006103515625,-2.700000286102295,0,1.1100006103515625,0.0,,,
9.609999656677246,9.75,8.5,8.5,56323900,0,0,2018-09-17,9,17,2018,,,,9.38830214901666,9.372143648134157,,,0.0,0.0,,,,0.0,,-4.050000190734863,0.7200002670288086,0,0.0,0.7200002670288086,,,
8.729999542236328,9.100000381469727,7.670000076293945,7.679999828338623,41827600,0,0,2018-09-18,9,18,2018,,,,9.159587204035557,9.152473839645781,,,0.0,0.0,,,,0.0,,-0.6499996185302734,0.8299999237060547,0,0.0,0.8299999237060547,,,
7.880000114440918,9.149999618530273,7.539999961853027,8.5,48306500,0,0,2018-09-19,9,19,2018,,,,8.851835359364095,8.855034126026341,,,0.0,0.0,,,,0.0,,0.049999237060546875,0.13000011444091797,0,0.0,0.13000011444091797,,,
9.069999694824219,9.470000267028809,8.420000076293945,8.779999732971191,40275000,0,0,2018-09-20,9,20,2018,,,,8.790255267855542,8.795121514710276,,,0.0,0.0,,,,0.0,,0.32000064849853516,-0.880000114440918,0,0.32000064849853516,0.0,,,
9.050000190734863,9.069999694824219,8.5,8.59000015258789,15118500,0,0,2018-09-21,9,21,2018,,,,8.78870173574195,8.792928803160471,,,0.0,0.0,,,,0.0,,-0.40000057220458984,-0.07999992370605469,0,0.0,0.0,,,
8.319999694824219,8.390000343322754,7.849999904632568,7.869999885559082,16297900,0,0,2018-09-24,9,24,2018,,,,8.762108879659674,8.767117719514319,,,0.0,0.0,,,,0.0,,-0.6799993515014648,0.6500000953674316,0,0.0,0.6500000953674316,,,
8.0600004196167,8.1899995803833,7.5,7.579999923706055,18909300,0,0,2018-09-25,9,25,2018,,,,8.6549548369203,8.6654377944933,,,0.0,0.0,,,,0.0,,-0.20000076293945312,0.34999990463256836,0,0.0,0.34999990463256836,,,
