horizon,mse,rmse,mae,mape,mdape,coverage
5 days,27.772257570405294,5.26993904807307,4.879214595876718,0.14610118009828615,0.1604073265366969,0.5
7 days,36.67289716825876,6.055815153078796,5.73899292829655,0.17921216896825207,0.17302202606664263,0.375
8 days,68.91941646060558,8.301771886808597,7.7399095758038285,0.23943636766180143,0.1998461586447966,0.25
9 days,109.54164989129282,10.466214687808234,9.850401832921914,0.30084885348793866,0.27387091138116326,0.125
10 days,180.7448407211545,13.444137782734693,12.739417708331263,0.3768262173815884,0.3301844290153176,0.0
11 days,255.36982275294815,15.98029482684685,15.331656296123432,0.4383284438898878,0.39946307908767353,0.0
12 days,252.41595665197204,15.887603867543149,15.2157185962358,0.42638782776681594,0.34401423973460676,0.0
14 days,311.8016492178414,17.657906139116307,16.82588362355111,0.4690708789515839,0.43888653351748896,0.0
15 days,361.47612078921463,19.012525365905883,18.03969757163771,0.49063018298611016,0.48608281597626646,0.0
16 days,387.1263342189926,19.675526275527996,18.616858521642506,0.5013231929358237,0.5063776921409053,0.0
17 days,384.2274407358656,19.601720351435116,18.47242394606003,0.4957455100201211,0.5075408958716944,0.0
18 days,377.5537230572236,19.430741701160652,18.119942887203234,0.480754784038677,0.5031431056203165,0.0
19 days,334.067673675103,18.277518258097924,16.623301250716036,0.4375758142039214,0.5031431056203165,0.0
21 days,330.2373886072454,18.172434856321413,16.69412638389148,0.4391977401312901,0.4192398035503946,0.0
22 days,254.27275290341296,15.945932174175738,14.185214637077841,0.3715236462529565,0.3491511818954166,0.125
23 days,177.54012289352278,13.324418294752038,11.403223591793864,0.2985474802770274,0.20192805138433334,0.125
24 days,95.03848190049459,9.748768224780738,8.240769970144836,0.21996709665285158,0.16125741740960364,0.375
25 days,45.86650883609132,6.772481733906067,5.477034420194789,0.15071728579176552,0.12873274883442257,0.625
26 days,31.215859702521914,5.587115508249486,4.439585745377163,0.12282284180162131,0.08697056432785623,0.6875
28 days,31.248709795606565,5.590054543169196,4.601851654977542,0.13446387909895222,0.11296884907684936,0.625
29 days,51.24934208174419,7.158864580486503,5.71127190381666,0.15916641902010203,0.11296884907684936,0.625
30 days,81.57188339341724,9.031715418092913,7.6455559772949995,0.20467963930392075,0.2358807743133551,0.375
31 days,133.0693003096319,11.535566752857525,10.846827162095057,0.2837428164302918,0.3209722534025684,0.125
32 days,157.7199833863846,12.55866168771118,12.44485637239319,0.32020996054675055,0.3331158605068531,0.0
33 days,174.15178249123633,13.1966580046327,13.059108673506906,0.32200460822710975,0.3331158605068531,0.0
35 days,251.68104445685617,15.864458530213257,15.079498625320934,0.3803837485192123,0.35011341215774694,0.0
36 days,332.73653082160155,18.241067151392254,17.163881323917373,0.4379318174269054,0.3525677999123559,0.0
37 days,471.4832252854987,21.71366448311981,20.65205148498668,0.5361261577926135,0.4360380942184875,0.0
38 days,578.9591602174039,24.061570194345254,23.167780217785648,0.6094844507377606,0.6015960431440777,0.0
39 days,683.7038315079033,26.147730905527983,25.481200679029584,0.6911094991978439,0.7546812930581606,0.0
40 days,624.6675590287279,24.993350296203346,24.133694732517547,0.648073897058729,0.6015960431440777,0.0
42 days,641.5933201852758,25.329692461324434,24.425760081373756,0.6650112985145806,0.6602712258989758,0.0
43 days,582.2684074104432,24.13023844495622,23.097095209516276,0.6312729982822737,0.5958923512273782,0.0
44 days,529.9837656918675,23.021376277100973,21.816581379184537,0.60777582495774,0.5856590521167996,0.0
45 days,463.293068699614,21.524243742803463,20.15693892922985,0.5742445225830963,0.5841645125391864,0.0
46 days,392.4609781004659,19.810627907778844,18.275231883314852,0.5329053132782635,0.5528458907457289,0.0
47 days,341.33583863792524,18.475276415738012,16.58582684755125,0.4857636821875912,0.3273935393705696,0.0
49 days,309.57126894105625,17.594637505247338,15.815384704343131,0.473588133354514,0.3795725304631437,0.0
50 days,216.95248799586935,14.729307111872892,12.403626911616564,0.378905327263241,0.29709567787558516,0.125
51 days,127.3224616728142,11.283725522752412,8.887158152837017,0.2713605923731411,0.1985212708529314,0.25
52 days,51.874388487402456,7.202387693494599,5.357205333652333,0.1631086967995229,0.13955730639938474,0.5
53 days,22.071265841197565,4.698006581646897,3.1758339154360593,0.09500623950851894,0.04999574570560577,0.75
54 days,22.397805318855404,4.732631965286906,3.4446355660636283,0.09639318291757162,0.08890905084600488,0.6875000000000001
56 days,19.1108389471245,4.371594554293033,3.4468652818525207,0.09549968998466397,0.08890905084600488,0.625
57 days,46.709445714371284,6.8344308990852545,5.1468869723097965,0.1375869531840542,0.13823790779836104,0.5
58 days,118.54087639490498,10.887647881654926,8.478980346780777,0.23508323167422562,0.1839982710568237,0.25
59 days,181.59642269698338,13.475771692076984,11.490424363201,0.3213560360777956,0.20281052102413263,0.0
60 days,236.85148823002314,15.389980124419367,13.24301208218144,0.37028818506439964,0.2918728598193634,0.125
