horizon,mse,rmse,mae,mape,mdape,coverage
5 days,9.909931918111916,3.148004434258617,2.6494614406312444,0.10928326555780041,0.1357934372762964,0.5
7 days,11.455635634232669,3.3846175019095837,3.0334165669794557,0.1275677791959088,0.16549666819922723,0.375
8 days,17.66985287966617,4.2035524119090235,3.929668096047132,0.16292081558209562,0.17276251589471034,0.25
9 days,23.383431367442988,4.835641774102274,4.672994389710968,0.1909714368920862,0.17374934824967514,0.125
10 days,37.425800678444816,6.117663007917714,5.838645501552712,0.2315177422108218,0.21761590202583914,0.0
11 days,52.791169259633506,7.265753179102185,7.00405552661006,0.2716825695835112,0.25334927113167266,0.0
12 days,53.04296502742889,7.283060141686933,7.02586533307413,0.26897946882466117,0.24006501893320548,0.0
14 days,62.70960178667667,7.918939435724753,7.622899360719229,0.29071793452826755,0.2687089655875428,0.0
15 days,71.53344466846453,8.457744656139988,8.21956064866717,0.30998163387364075,0.31957127006303554,0.0
16 days,69.16431571887541,8.316508625551675,8.09514638970763,0.3054192263209281,0.30419944869489446,0.0
17 days,62.276527217183265,7.891547834055324,7.675461613097983,0.28906770973693074,0.2728449852529026,0.0
18 days,55.105568689953614,7.423312514636145,7.088767279594176,0.265882634363206,0.2728449852529026,0.0
19 days,47.65195192323383,6.90303932505341,6.444761880907276,0.24025302575831767,0.2728449852529026,0.0
21 days,43.36429316646322,6.585157034305501,6.167584754835334,0.22975119485318857,0.21724354308222832,0.0
22 days,30.36595195049045,5.5105310044033375,4.861237396143915,0.17995994512538305,0.17043201195336422,0.125
23 days,18.5013822289152,4.3013233113677005,3.5042787161398685,0.12873341993520365,0.0918609040764899,0.3750000000000001
24 days,8.480075049827365,2.91205684179196,2.504014111583937,0.09274891730334629,0.0773353083251649,0.6249999999999999
25 days,5.15816300705254,2.2711589567999284,2.086317930870652,0.07954026514672649,0.062349790925416836,0.75
26 days,6.273962861907762,2.5047879874168517,2.2968075594741277,0.08461246949442952,0.062349790925416836,0.6874999999999999
28 days,17.465802283073135,4.1792107248944905,3.2334783205662117,0.12820990660880044,0.07827918733932518,0.625
29 days,41.92405920045293,6.474879087709123,5.335078854149077,0.20626002938609192,0.13426780098036104,0.375
30 days,67.9818480003396,8.24511055112905,7.466599764691465,0.27910531711665826,0.2703985802175086,0.125
31 days,99.79609020407378,9.989799307497313,9.706181374177978,0.35296100413977993,0.37887632827446494,0.0
32 days,115.25311215289702,10.735600223224457,10.680663185886264,0.3796714118116701,0.3882457722814161,0.0
33 days,117.36990719461103,10.833739298811423,10.783868749481913,0.3660507705165912,0.3337632071011005,0.0
35 days,138.63614750500142,11.774385228325146,11.59857865230945,0.4020722390896038,0.3897227032977093,0.0
36 days,160.70438396736554,12.676923284747192,12.437537124784997,0.4371392983433946,0.3897227032977093,0.0
37 days,206.96291181636033,14.386205608719775,14.025591079122691,0.5098620655284049,0.43092348146885096,0.0
38 days,236.95229009964126,15.393254694821406,15.002214224194352,0.5599861411247484,0.5201345532906467,0.0
39 days,269.02423237670735,16.4019581872625,16.06936949537203,0.6286947139609343,0.6553637545901654,0.0
40 days,253.2161289354365,15.912766225123667,15.513372458249792,0.5934058083749401,0.5201345532906467,0.0
42 days,263.2829497989143,16.225996111145665,15.796670890616493,0.6204356824014486,0.6091823842760371,0.0
43 days,250.65366113705716,15.832045387032503,15.444769913266608,0.6086903622168428,0.6050948819851009,0.0
44 days,243.76001617213643,15.61281576693123,15.256014842000456,0.6096553822256491,0.6056542409048853,0.0
45 days,229.95168307349647,15.164157842540959,14.744359423054998,0.6081653737460626,0.6056542409048853,0.0
46 days,212.5747789800851,14.57994440936196,14.132313418789447,0.5978031409985558,0.6056542409048853,0.0
47 days,191.6164749123991,13.842560273027496,13.298488079365686,0.5576994455591919,0.36989200349764606,0.0
49 days,180.1153347199393,13.420705447924089,12.917311181289062,0.5615840398767276,0.4979835088771598,0.0
50 days,145.30029166628785,12.054057062511685,11.526095667421153,0.5131342899345108,0.44180538293961313,0.0
51 days,111.33076106164509,10.551339301796958,10.139779766773774,0.4472948890089844,0.3821237091168297,0.0
52 days,82.70435483878266,9.094193468295177,8.915226094128911,0.3805393259649837,0.32088343512537887,0.0
53 days,66.12136810212495,8.131504664090462,7.95170280455997,0.3266968766106838,0.2600389619871162,0.0
54 days,58.70250475912033,7.661755984049631,7.470525629498477,0.2977109330294464,0.2600389619871162,0.0
56 days,48.24254209073446,6.9456851419233265,6.577629186298072,0.25897206826567953,0.24540803900037284,0.125
57 days,35.41641186857764,5.951168949759168,5.412087223856263,0.20429292046874986,0.20893223215949647,0.25
58 days,19.27591786996578,4.39043481559239,3.6413288557972017,0.1383420074448541,0.1256737632203471,0.5
59 days,10.259857910096603,3.203101295634686,2.753300520154372,0.10680456124375812,0.10451341032095349,0.6249999999999999
60 days,8.76391303650919,2.9603906898430132,2.5689285130440114,0.1001565208591366,0.10418368235265078,0.625
