horizon,mse,rmse,mae,mape,mdape,coverage
7 days,78.7056396100894,8.871619897746376,6.649021910745076,0.24159580520454474,0.21813306668382948,0.25
8 days,80.83404208589695,8.990775388468837,6.6876678120801945,0.25687984958000964,0.26590481612936506,0.19791666666666666
9 days,83.72034121137688,9.149882032648119,6.939385871485755,0.2573965063742923,0.2522411512610685,0.15625
10 days,93.34134189437975,9.661332304313921,7.5089713631028765,0.26129344045679714,0.2662709876434519,0.1111111111111111
11 days,95.29300089345551,9.761813401896982,7.755181228666688,0.27211516137611186,0.2662709876434519,0.0625
12 days,91.62889173409839,9.572298142771066,7.5725132903564525,0.2753568823398357,0.296819217260068,0.10833333333333334
13 days,93.62661435972919,9.676084660632585,7.40191581298896,0.28343781266255375,0.30328325657476657,0.16666666666666669
14 days,90.2126067596978,9.498031730821802,6.925640228921305,0.2910149306781903,0.30328325657476657,0.2083333333333333
15 days,92.92188559310598,9.639599866856818,6.885730396660412,0.2976204279378656,0.31181616619608055,0.24999999999999997
16 days,103.29803575460274,10.163564126555347,7.333818797762877,0.2864160067215129,0.30307838402436066,0.2916666666666667
17 days,122.49946144393482,11.067947481079536,8.350322734435213,0.3031177967006349,0.3282168186472517,0.25
18 days,124.8093183737271,11.171809091357009,8.745615148778052,0.32252502769779684,0.3387107226005186,0.16666666666666666
19 days,119.2033530678839,10.918028808712858,8.589126711955728,0.332778214952402,0.34399758068060654,0.15
20 days,115.48270795538389,10.746288101264728,8.328436217695595,0.3447036382791665,0.34399758068060654,0.15833333333333335
21 days,107.29816296696141,10.358482657559524,7.840243173479977,0.36587475705219735,0.3644840311865773,0.11458333333333333
22 days,110.1282814857651,10.494202279628743,7.844213083397109,0.36990613438634246,0.35837539297051074,0.08333333333333333
23 days,128.82947133494005,11.350307103111353,8.506987409662337,0.3584017284768438,0.35837539297051074,0.08333333333333333
24 days,137.08839816361655,11.708475484178823,8.968533620052542,0.37119147541912423,0.3644840311865773,0.07291666666666666
25 days,146.69646959280155,12.11183180170537,9.56346148402591,0.38904378057964617,0.3644840311865773,0.03125
26 days,142.23888349541951,11.926394404656401,9.426491551524773,0.39201000948395426,0.35474481205160713,0.0
27 days,156.46215418865168,12.508483288898447,9.561756571322162,0.40303940598471377,0.36840990354316666,0.041666666666666664
28 days,161.61329468120348,12.712721765271333,9.41196925585735,0.4348423896079987,0.41424682311088,0.08333333333333331
29 days,169.8478634704046,13.032569334954816,9.629883129048793,0.43535366799943975,0.3968766306580721,0.08333333333333333
